"id","item","code","name","segment","ncms"
"cest_0302300","23","03.023.00","Chope","03","22030000"
"cest_0302400","24","03.024.00","Água mineral em embalagens retornáveis com capacidade igual ou superior a 10 (dez) e inferior a 20 (vinte) litros","03","22011000"
"cest_0302500","25","03.025.00","Água mineral em embalagens retornáveis com capacidade igual ou superior a 20 (vinte) litros","03","22011000"
"cest_0400100","1","04.001.00","Charutos, cigarrilhas e cigarros, de tabaco ou dos seus sucedâneos","04","2402"
"cest_0400200","2","04.002.00","Tabaco para fumar, mesmo contendo sucedâneos de tabaco em qualquer proporção","04","24031"
"cest_0500100","1","05.001.00","Cimento","05","2523"
"cest_0600100","1","06.001.00","Álcool etílico não desnaturado, com um teor alcoólico em volume igual ou superior a 80% vol - Com um teor de água igual ou inferior a 1 % vol (álcool etílico anidro combustível)","06","22071010"
"cest_0600101","1.1","06.001.01","Álcool etílico não desnaturado, com um teor alcoólico em volume igual ou superior a 80% vol - Outros (álcool etílico hidratado combustível)","06","22071090"
"cest_0600200","2","06.002.00","Gasolina automotiva A, exceto Premium","06","27101259"
"cest_0600201","2.1","06.002.01","Gasolina automotiva C, exceto Premium","06","27101259"
"cest_0600202","2.2","06.002.02","Gasolina automotiva A Premium","06","27101259"
"cest_0600203","2.3","06.002.03","Gasolina automotiva C Premium","06","27101259"
"cest_0600300","3","06.003.00","Gasolina de aviação","06","27101251"
"cest_0600400","4","06.004.00","Querosenes, exceto de aviação","06","27101919"
"cest_0600500","5","06.005.00","Querosene de aviação","06","27101911"
"cest_0600600","6","06.006.00","Óleo diesel A, exceto S10 e Marítimo","06","2710192"
"cest_0600601","6.1","06.006.01","Óleo diesel B, exceto S10 (mistura obrigatória)","06","2710192"
"cest_0600602","6.2","06.006.02","Óleo diesel B, exceto S10 (misturas autorizativas)","06","2710192"
"cest_0600603","6.3","06.006.03","Óleo diesel B, exceto S10 (misturas experimentais)","06","2710192"
"cest_0600604","6.4","06.006.04","Óleo diesel A S10","06","2710192"
"cest_0600605","6.5","06.006.05","Óleo diesel B S10 (mistura obrigatória)","06","2710192"
